"age_name","std_population"
"0-6",0.00731561542336334
"1-5",0.158607316993868
"10",0.350190867373552
"10-14",1.72500693086605
"10-19",3.36972798080649
"10-24",4.9313756138924
"11",0.347869199862777
"12",0.345365661926973
"12-23",0.367004098302783
"13",0.34243027852865
"14",0.3391509231741
"15",0.335651946566165
"15-19",1.64472104994044
"15-49",9.55211245284593
"16",0.332231185187545
"17",0.328863100341566
"18",0.3256474093371
"19",0.322327408508064
"2",0.364550253327592
"2-4",1.08827775056079
"20",0.318832513233745
"20-24",1.56164763308591
"21",0.315440999828387
"22",0.312222696818105
"23",0.309122924268934
"24",0.306028498936739
"25",0.303191862583147
"25+",10.0502226581583
"25-29",1.48509760617744
"26",0.300223716596945
"27",0.297235221286138
"28",0.293939100252949
"29",0.290507705458265
"3",0.362654760746555
"30",0.287128922937332
"30-34",1.39678270466319
"31",0.283206243549482
"32",0.279477583196611
"33",0.275539769578495
"34",0.271430185401268
"35",0.267126219914061
"35-39",1.28648985174963
"36",0.262409842400089
"37",0.257459544184228
"38",0.252321903556987
"39",0.247172341694268
"4",0.361072736486638
"40",0.241861517481616
"40-44",1.15620692319263
"41",0.236636307385044
"42",0.231312058036051
"43",0.225952498420101
"44",0.220444541869817
"45",0.215061059660319
"45-49",1.02116668403669
"46",0.209639522750487
"47",0.204287145048349
"48",0.198811867646182
"49",0.193367088931348
"5",0.359519052462274
"5-14",3.50397873754269
"5-9",1.77897180667664
"50",0.187909527011074
"50-54",0.883597403389932
"50-69",2.77368928413726
"51",0.182247686945064
"52",0.176652866764742
"53",0.171112101830334
"54",0.165675220838717
"55",0.160302084861628
"55-59",0.750290174940777
"56",0.155010914708977
"57",0.149876810878183
"58",0.144964823317551
"59",0.14013554117444
"6",0.357752855960185
"6-11",0.18439840864102
"60",0.135444327153543
"60-64",0.630560513935488
"61",0.130771450742892
"62",0.126087398644983
"63",0.121449983801494
"64",0.116807353592576
"65",0.111988093446011
"65-69",0.509241191871063
"66",0.106997378583624
"67",0.101851636831512
"68",0.096748861899633
"69",0.0916552211102833
"7",0.355864829288124
"7-27",0.0216799724993585
"70",0.0865209154231532
"70+",0.930789604201423
"70-74",0.381994676153589
"71",0.0813897983575282
"72",0.0762829657122036
"73",0.0712919794408372
"74",0.066509017219867
"75",0.0617011066640799
"75-79",0.264499935242032
"76",0.0571286896127603
"77",0.0526518595417314
"78",0.048516265730659
"79",0.0445020136928016
"8",0.35384891442605
"80",0.0404971592030622
"80+",0.284294992805802
"80-84",0.16426338253475
"81",0.0365569644902712
"82",0.0327149521133567
"83",0.029008493011492
"84",0.0254858137165679
"85",0.0221850369985728
"85-89",0.0821143386436877
"86",0.0190641768936338
"87",0.0161676664875559
"88",0.0135284289833645
"89",0.0111690292805607
"9",0.351986154540008
"90",0.00904737283409032
"90-94",0.0295238696653039
"91",0.00720068160433631
"92",0.0056344867497882
"93",0.00433223570069162
"94",0.00330909277639746
"95+",0.00839340196206045
"<1 year",0.372001313557609
"<20",6.97598294990431
"<28",0.0289955879227219
"<5",1.82728316242118
"All ages",18.5878532411485
"Birth",0.383384752180907
