Age Group ,Percent of Population ,Rounded
Early Neonatal ,0.039706188,0.04
Late Neonatal ,0.118021789,0.12
Post Neonatal ,1.868264909,1.87
<1 ,2.025992886,2.03
1 to 4 ,7.909875913,7.91
5 to 9 ,9.568418272,9.57
10 to 14 ,8.990277942,8.99
15 to 19 ,8.324362192,8.32
20 to 24 ,7.866450176,7.87
25 to 29 ,7.632917343,7.63
30 to 34 ,7.331511124,7.33
35 to 39 ,6.811055,6.81
40 to 44 ,6.136798184,6.14
45 to 49 ,5.509495973,5.51
50 to 54 ,4.921822565,4.92
55 to 59 ,4.345633072,4.35
60 to 64 ,3.684473754,3.68
65 to 69 ,2.991239718,2.99
70 to 74 ,2.272487547,2.27
75 to 79 ,1.607371655,1.61
80 to 84 ,1.113034599,1.11
85 to 89 ,0.61707008,0.62
90 to 94 ,0.255008068,0.26
95 plus ,0.084703935,0.08
